No.,Department,ID,Name,Language
0,Department of Finance Canada,315f5223-6f1c-4746-a2ab-98939a47942f,Fiscal Reference Tables - October 2010 - Table 10 (English version),English
1,Environment Canada,2b214f8f-bd88-4f3a-b775-ed24cf440115,Greenhouse Gas Emissions Reporting Program (GHGRP) - Downloadable Emissions Data,English
2,Environment Canada,269bdce9-f598-43c8-8cf3-e0ba15c20f1f,Real Time Hydrometric Data Tool,English
3,Environment Canada,70355991-3fa5-4c28-8e72-bbda3e5da36e,Adjusted and Homogenized Canadian Climate Data (AHCCD),English
4,Environment Canada,f818116c-a5ec-4590-b5f5-83f47fbe5add,Pollution Prevention Planning Database,English
5,Environment Canada,2dd1a680-4c73-442c-8a2f-32f07496972a,The WMO Volume Report - Canada ,English
6,Environment Canada,87009320-6e76-439c-b737-0e9e6a36fa0d,Daily Climate Data (From SYNOs),English
7,Environment Canada,bcb7e946-94d3-4d9c-b39e-fb4f1c9a3196,Hourly Weather Data (from Metars),English
8,Canadian International Development Agency,fe318a82-2c23-4f10-8d93-98c7c8a74807,Key Government of Canada Commitments for the Allocation of the Aid Budget ,English
9,Fisheries and Oceans Canada,4348fa39-1838-49c8-b983-dac42ab4afc3,DFO Vertical file collection,English
10,Fisheries and Oceans Canada,a0bb9d6e-478d-41df-b2dd-2a9ec10bd339,CSAS Electronic Science advisory reports,English
11,Fisheries and Oceans Canada,3793c09a-48bc-4079-94c5-e03f48a73d37,CSAS Electronic Science responses,English
12,Fisheries and Oceans Canada,f405a6f7-defb-427f-a6cb-8ff5d3732605,CSAS Electronic Proceedings,English
13,Fisheries and Oceans Canada,21a64237-f4fe-4de1-92e5-08997ae74b17,CSAS Electronic Research documents 2004-2011,English
14,Fisheries and Oceans Canada,2deba6ce-fbe2-4c99-bd67-2e42c0644b8d,DFO Documents collection,English
15,Fisheries and Oceans Canada,c59009d6-539b-47fc-97de-a61c2b9416f4,DFO Map collection,English
16,Fisheries and Oceans Canada,fb296cc9-e655-4473-906f-f093806ff3c9,DFO Bibliography collection,English
17,Fisheries and Oceans Canada,2257488f-e228-452d-9ef6-a684a3baacb0,DFO Microfiche collection,English
